"code","name"
"BRDX","ENSAP de Bordeaux"
"BRET","ENSA de Bretagne"
"CLRF","ENSA de Clermont-Ferrand"
"DEFS","EA de Paris-La Défense"
"GRNO","ENSA de Grenoble"
"IUAR","Institut d'Urbanisme et d'Aménagement Régional"
"LILL","ENSAP de Lille"
"LYON","ENSA de Lyon"
"MALQ","ENSA de Paris-Malaquais"
"MLVL","ENSA de Paris-Est"
"MOPL","ENSA de Montpellier"
"MRSL","ENSA de Marseille"
"NANT","ENSA de Nantes"
"NNCY","ENSA de Nancy"
"NRMD","ENSA de Normandie"
"PAYM","École nationale supérieure de paysage"
"PAYV","École nationale supérieure de paysage"
"PBLV","ENSA de Paris-Belleville"
"PLVT","ENSA de Paris-La Villette"
"PVDM","EA de Paris-Val de Marne"
"PVDS","ENSA de Paris-Val de Seine"
"SEIN","EA de Paris-La Seine"
"STET","ENSA de Saint-Etienne"
"STRB","ENSA de Strasbourg"
"TOLB","EA de Paris-Tolbiac"
"TOUL","ENSA de Toulouse"
"VILM","EA de Paris-Villemin"
"VRSL","ENSA de Versailles"
